Date,GOOGL,AMZN,META,MSFT,AAPL
2022-03-29,142.15350341796875,169.31500244140625,229.1699981689453,308.6889953613281,176.49407958984375
2022-03-30,141.58790588378906,166.30099487304688,227.16603088378906,307.1719665527344,175.32046508789062
2022-03-31,138.7239990234375,162.99749755859375,221.69252014160156,301.7402648925781,172.20399475097656
2022-04-01,139.8043212890625,163.55999755859375,224.175048828125,302.8265686035156,171.90809631347656
2022-04-04,142.61834716796875,168.34649658203125,233.18789672851562,308.2583312988281,175.98121643066406
2022-04-05,140.24374389648438,164.05499267578125,231.14402770996094,304.2554931640625,172.6477813720703
2022-04-06,136.21072387695312,158.75599670410156,222.62969970703125,293.11798095703125,169.46229553222656
2022-04-07,135.5528564453125,157.7845001220703,222.28073120117188,294.9481506347656,169.76800537109375
2022-04-08,132.95828247070312,154.4604949951172,221.66261291503906,290.6419677734375,167.7462615966797
2022-04-11,128.50531005859375,151.1219940185547,215.8102264404297,279.1814270019531,163.46607971191406
2022-04-12,127.39904022216797,150.78750610351562,213.4971923828125,276.04962158203125,165.34974670410156
2022-04-13,129.57315063476562,155.54100036621094,214.3446502685547,281.4910888671875,168.052001953125
2022-04-14,126.41697692871094,151.7064971923828,209.54905700683594,273.86712646484375,163.01239013671875
2022-04-18,127.36113739013672,152.78500366210938,210.13729858398438,274.5424499511719,162.7954559326172
2022-04-19,129.68788146972656,158.11549377441406,216.6576690673828,279.22052001953125,165.0933074951172
2022-04-20,127.7237319946289,153.9980010986328,199.81837463378906,280.2579650878906,164.9256591796875
2022-04-21,124.5062026977539,148.29600524902344,187.50546264648438,274.8262939453125,164.1268310546875
2022-04-22,119.33999633789062,144.35000610351562,183.5573272705078,268.19073486328125,159.5606231689453
2022-04-25,122.7699966430664,146.07400512695312,186.42869567871094,274.7381896972656,160.63563537597656
2022-04-26,118.35693359375,139.39100646972656,180.4068145751953,264.46197509765625,154.63938903808594
2022-04-27,114.0121841430664,138.16700744628906,174.42481994628906,277.1849365234375,154.41258239746094
2022-04-28,118.22974395751953,144.59649658203125,205.11244201660156,283.4582824707031,161.3851318359375
2022-04-29,113.82763671875,124.28150177001953,199.86822509765625,271.60638427734375,155.47767639160156
2022-05-02,116.29502868652344,124.5,210.49623107910156,278.4082946777344,155.78341674804688
2022-05-03,117.04418182373047,124.25350189208984,211.39352416992188,275.7756042480469,157.28245544433594
2022-05-04,121.9590072631836,125.92849731445312,222.73934936523438,283.8009033203125,163.73233032226562
2022-05-05,116.21772766113281,116.40699768066406,207.65478515625,271.44000244140625,154.6098175048828
2022-05-06,115.4605941772461,114.77249908447266,203.15830993652344,268.8758239746094,155.34068298339844
2022-05-09,112.23309326171875,108.78900146484375,195.62103271484375,258.9421081542969,150.18505859375
2022-05-10,114.11243438720703,108.85900115966797,197.0566864013672,263.7572021484375,152.60484313964844
2022-05-11,113.32189178466797,105.37200164794922,188.17343139648438,254.99794006347656,144.69361877441406
2022-05-12,112.56526947021484,106.93049621582031,190.6659393310547,249.90878295898438,140.8022003173828
2022-05-13,115.76385498046875,113.05500030517578,198.0237579345703,255.5557861328125,145.29608154296875
2022-05-16,114.16231536865234,110.81050109863281,199.43951416015625,255.92771911621094,143.74542236328125
2022-05-17,116.185302734375,115.36849975585938,202.0117645263672,261.1343688964844,147.3998260498047
2022-05-18,111.62310028076172,107.11250305175781,191.66293334960938,249.2449951171875,139.08363342285156
2022-05-19,110.1113510131836,107.31900024414062,190.7157745361328,248.32289123535156,135.6564483642578
2022-05-20,108.63899230957031,107.59100341796875,192.95901489257812,247.75392150878906,135.89346313476562
2022-05-23,111.21261596679688,107.55699920654297,195.64093017578125,255.68997192382812,141.34539794921875
2022-05-24,105.708251953125,104.0999984741211,180.73582458496094,254.67955017089844,138.6293182373047
2022-05-25,105.54365539550781,106.7750015258789,183.27816772460938,257.52435302734375,138.787353515625
2022-05-26,107.5262451171875,111.07749938964844,191.05474853515625,260.840087890625,142.0071563720703
2022-05-27,112.03907775878906,115.14649963378906,194.54425048828125,268.0403747558594,147.7948760986328
2022-05-31,113.48100280761719,120.20950317382812,193.05873107910156,266.6964416503906,147.00474548339844
2022-06-01,113.61067962646484,121.68399810791016,188.07373046875,267.23602294921875,146.87637329101562
2022-06-02,117.33196258544922,125.51100158691406,198.26304626464844,269.3548889160156,149.34552001953125
2022-06-03,114.2580795288086,122.3499984741211,190.2073211669922,264.8816833496094,143.58740234375
2022-06-06,116.53195190429688,124.79000091552734,193.66688537597656,263.6358337402344,144.3380126953125
2022-06-07,116.8601303100586,123.0,195.06268310546875,267.31439208984375,146.87637329101562
2022-06-08,116.90452575683594,121.18000030517578,196.0497283935547,265.2642517089844,146.1355743408203
2022-06-09,114.55184936523438,116.1500015258789,183.44766235351562,259.751220703125,140.88121032714844
2022-06-10,110.88692474365234,109.6500015258789,175.04296875,248.17576599121094,135.43914794921875
2022-06-13,106.12970733642578,103.66999816894531,163.76690673828125,237.64993286132812,130.25389099121094
2022-06-14,106.451904296875,102.30999755859375,163.23849487304688,239.83749389648438,131.12298583984375
2022-06-15,109.49337768554688,107.66999816894531,168.84165954589844,246.96914672851562,133.76010131835938
2022-06-16,105.77159881591797,103.66000366210938,160.38710021972656,240.308349609375,128.456298828125
2022-06-17,106.87885284423828,106.22000122070312,163.2484893798828,242.93734741210938,129.9378204345703
2022-06-21,111.26848602294922,108.68000030517578,156.57855224609375,248.91148376464844,134.19467163085938
2022-06-22,111.21212005615234,108.94999694824219,155.38217163085938,248.31307983398438,133.68109130859375
2022-06-23,111.96475219726562,112.44000244140625,158.27346801757812,253.93406677246094,136.56507873535156
2022-06-24,117.68359375,116.45999908447266,169.6492156982422,262.6058654785156,139.91329956054688
2022-06-27,115.5473861694336,113.22000122070312,168.98121643066406,259.84930419921875,139.91329956054688
2022-06-28,111.7308349609375,107.4000015258789,160.19766235351562,251.59933471679688,135.74530029296875
2022-06-29,111.42559051513672,108.91999816894531,163.4478759765625,255.30743408203125,137.51324462890625
2022-06-30,108.69384765625,106.20999908447266,160.7659454345703,251.94265747070312,135.03419494628906
2022-07-01,108.46891021728516,109.55999755859375,159.5496063232422,254.64035034179688,137.2169647216797
2022-07-05,112.98323059082031,113.5,167.68511962890625,257.84814453125,139.8145294189453
2022-07-06,114.28900146484375,114.33000183105469,169.26039123535156,261.1441345214844,141.15773010253906
