time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-01-21,36469.3,-4227.729999999996,41624.454800906955,43659.51776127862,2569.59,-432.8399999999997,3130.147017778108,3359.6566906532603,1.0,0.00019999999999997797,1.0002866449850119,1.0002916238915665,384.09,-56.25,458.0492979770593,480.00918721418316,1.0,0.0,0.9999567221771625,0.9999417687832994
2022-01-22,35075.92,-1393.3800000000047,40616.987908459734,43023.695704887614,2412.23,-157.36000000000013,3019.698245812245,3289.476935790056,1.001,0.0009999999999998899,1.0003963919103946,1.000344096195895,358.48,-25.609999999999957,442.7309444421271,471.00702519831776,1.0,0.0,0.9999633803037529,0.9999460822067587
2022-01-23,36288.15,1212.2300000000032,39951.01284561978,42524.76639341446,2541.6,129.3699999999999,2946.1446695334384,3234.0786442500516,1.001,0.0,1.0004892546934108,1.0003926816628657,384.29,25.810000000000002,433.7400299125691,464.58354185029424,1.001,0.0009999999999998899,1.0001228602570216,1.0000241501914433
2022-01-24,36702.79,414.6399999999994,39451.28625398596,42093.50888279117,2442.27,-99.32999999999993,2868.6254896052174,3175.426152083381,1.001,0.0,1.0005678308944246,1.0004376682063572,371.68,-12.610000000000014,424.1923330029431,457.70179800953173,1.0,-0.0009999999999998899,1.0001039586790184,1.0000223612883734
2022-01-25,36975.99,273.1999999999971,39070.47144568043,41714.43340999182,2459.65,17.38000000000011,2805.706183512107,3122.405696373501,1.001,0.0,1.0006343184491284,1.0004793224132937,385.29,13.610000000000014,418.207358694798,452.3379611199368,1.0,0.0,1.0000879650360925,1.000020704896642
2022-01-26,36829.37,-146.61999999999534,38725.68660788344,41352.57686110354,2464.13,4.480000000000018,2753.1560014333213,3073.6445336791676,1.001,0.0,1.0006905771492625,1.00051789112342,375.02,-10.270000000000039,411.5631496648291,446.6107047406822,1.0,0.0,1.0000744319536168,1.0000191712005946
2022-01-27,37189.85,360.4799999999959,38489.40405282445,41044.22672324401,2425.83,-38.30000000000018,2702.7981550589643,3025.658271925155,1.001,0.0,1.0007381806647606,1.0005536028920556,390.12,15.100000000000023,408.2642035625477,442.42620809322426,1.0,0.0,1.0000629808838295,1.0000177511116617
2022-01-28,37744.7,554.8499999999985,38374.834198543766,40799.81733633705,2547.03,121.20000000000027,2678.8338235114315,2990.204325856625,1.001,0.0,1.0007784605624896,1.000586669344496,386.13,-3.990000000000009,404.8589414760019,438.2561186048373,1.0,0.0,1.0000532915170866,1.0000164362145016
2022-01-29,38184.86,440.1600000000035,38345.6073987678,40606.11679290468,2603.1,56.06999999999971,2667.1824660481343,2961.5299313487267,1.001,0.0,1.0008125435528759,1.0006172864300888,389.49,3.3600000000000136,402.4944889412324,434.6438135229975,1.001,0.0009999999999998899,1.0001989389759962,1.0000892927912053
2022-01-30,37908.44,-276.41999999999825,38278.350875880446,40406.288882319146,2603.24,0.13999999999987267,2657.3451635791907,2934.9899364340063,1.0,-0.0009999999999998899,1.0006875368524335,1.0005715615093416,377.3,-12.189999999999998,398.61841371950436,430.3961236324051,0.9996,-0.0013999999999998458,1.0001067945181505,1.0000530488807455
